PropType,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,FIREPLACE,AIR_CONDITIONING,POWDER_ROOMS,Sale_price
Condominium,Condo Townhouse,,2.0,1970.0,5.0,1463.0,1.0,2.0,1.0,2.0,0,1,2,99000.0
Condominium,Low Rise 1-3 Stories,,1.0,1986.0,5.0,981.0,1.0,2.0,2.0,0.0,0,1,0,169900.0
Lg Apartment,R/M (Res. Multiple) or Rooming House - commercial,Fiber Cement/Hardiplank,2.0,1907.0,,2740.0,8.0,,0.0,0.0,0,0,0,185000.0
Residential,Duplex O/S,Asphalt/Other,2.0,1906.0,16.0,1232.0,2.0,8.0,2.0,0.0,0,0,0,176000.0
Commercial,"Store Building - Single tenant, 1 story",Fiber Cement/Hardiplank,1.0,1875.0,,2560.0,1.0,,0.0,0.0,0,0,0,185000.0
Lg Apartment,AP1 (Conventional Apt with 4-6 Units),Alum/Vynyl Siding,2.0,1875.0,,4799.0,4.0,,0.0,0.0,0,0,0,610000.0
Residential,Cape Cod,Brick,1.0,1949.0,5.0,1263.0,1.0,3.0,3.0,0.0,0,1,0,320000.0
Commercial,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",Brick,2.0,1929.0,0.0,4810.0,7.0,3.0,0.0,0.0,0,0,0,330000.0
Commercial,Super Market,Concrete Block,1.0,1959.0,,2880.0,1.0,,0.0,0.0,0,1,0,400000.0
Condominium,Low Rise 1-3 Stories,,1.0,1999.0,5.0,1089.0,1.0,2.0,2.0,0.0,0,1,0,168000.0
Residential,Res O/S 1 Story,Stucco,1.0,1920.0,5.0,908.0,1.0,2.0,1.0,0.0,0,0,0,119630.0
Residential,Colonial,Masonry/Frame,2.0,1954.0,9.0,3446.0,1.0,4.0,3.0,1.0,1,1,1,785000.0
Condominium,Low Rise 1-3 Stories,,1.0,1971.0,4.0,1000.0,1.0,2.0,1.0,1.0,0,0,1,40000.0
Residential,Ranch,Brick,1.0,1957.0,5.0,1120.0,1.0,3.0,1.0,1.0,0,1,0,265000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1957.0,5.0,936.0,1.0,3.0,1.0,0.0,0,1,0,235000.0
Residential,Ranch,Stone,1.0,1951.0,6.0,1541.0,1.0,3.0,2.0,0.0,1,1,0,340000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1955.0,4.0,672.0,1.0,2.0,1.0,0.0,0,1,0,200000.0
Residential,Ranch,Brick,1.0,1966.0,5.0,1310.0,1.0,3.0,1.0,0.0,0,1,0,310000.0
Residential,Cape Cod,Aluminum/Vinyl,1.5,1949.0,4.0,1080.0,1.0,2.0,2.0,0.0,0,0,0,245000.0
Residential,Res O/S A & 1/2,Aluminum/Vinyl,1.0,1915.0,6.0,1393.0,1.0,4.0,1.0,1.0,0,0,0,191000.0
Residential,Duplex O/S,Aluminum/Vinyl,2.0,1893.0,10.0,1906.0,2.0,4.0,2.0,0.0,0,0,0,152500.0
Commercial,Laundromat,Concrete Block,1.0,1969.0,,5302.0,1.0,,0.0,0.0,0,1,0,400000.0
Residential,Res O/S A & 1/2,Asphalt/Other,1.0,1886.0,6.0,1156.0,1.0,4.0,1.0,0.0,0,0,0,69000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1956.0,4.0,948.0,1.0,2.0,1.0,0.0,0,0,0,165000.0
Residential,Cape Cod,Masonry/Frame,1.0,1945.0,6.0,1303.0,1.0,3.0,1.0,1.0,0,0,1,169000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1953.0,6.0,1056.0,1.0,3.0,1.0,1.0,0,1,1,257000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1954.0,5.0,1066.0,1.0,3.0,1.0,0.0,0,0,0,275000.0
Residential,Res O/S 2sty +,Wood,2.0,1901.0,7.0,2134.0,1.0,3.0,2.0,0.0,0,1,0,151000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1946.0,4.0,826.0,1.0,2.0,1.0,0.0,0,1,0,242000.0
Residential,Cape Cod,Aluminum/Vinyl,1.0,1951.0,5.0,1345.0,1.0,3.0,1.0,1.0,0,1,0,243000.0
Residential,Ranch,Brick,1.0,1956.0,6.0,1480.0,1.0,3.0,1.0,0.0,0,1,0,258000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1956.0,6.0,1309.0,1.0,3.0,1.0,1.0,0,0,1,286000.0
Residential,Dplx Bungalow,Brick,1.5,1922.0,8.0,2478.0,2.0,3.0,3.0,0.0,1,0,0,185000.0
Residential,Dplx Bungalow,Aluminum/Vinyl,2.0,1920.0,13.0,3242.0,2.0,7.0,4.0,0.0,2,0,0,576300.0
Residential,Ranch,Brick,1.0,1954.0,5.0,1027.0,1.0,2.0,1.0,0.0,0,0,0,140000.0
Residential,Dplx Bungalow,Aluminum/Vinyl,2.0,1912.0,10.0,2995.0,2.0,4.0,3.0,0.0,0,0,0,177000.0
Residential,Dplx Bungalow,Aluminum/Vinyl,2.0,1921.0,10.0,2322.0,2.0,4.0,2.0,0.0,0,0,0,300800.0
Residential,Dplx Bungalow,Wood,1.5,1921.0,11.0,2112.0,2.0,4.0,2.0,0.0,0,1,0,250000.0
Residential,Cottage,Aluminum/Vinyl,1.0,1949.0,4.0,768.0,1.0,2.0,1.0,0.0,0,0,0,98000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1952.0,4.0,761.0,1.0,2.0,1.0,0.0,0,1,0,225000.0
Residential,Triplex,Wood,2.5,1884.0,14.0,4538.0,3.0,7.0,4.0,0.0,2,0,0,328570.0
Residential,Ranch,Brick,1.0,1955.0,4.0,714.0,1.0,2.0,1.0,0.0,0,1,0,239900.0
Residential,Cape Cod,Aluminum/Vinyl,1.0,1951.0,5.0,1113.0,1.0,3.0,1.0,0.0,0,0,0,263870.0
Residential,Cape Cod,Brick,1.0,1949.0,6.0,1443.0,1.0,3.0,1.0,0.0,0,1,0,218500.0
Residential,Duplex O/S,Aluminum/Vinyl,1.5,1912.0,9.0,1781.0,2.0,4.0,2.0,0.0,0,0,0,210000.0
Residential,Duplex-Cottage,Aluminum/Vinyl,1.0,1897.0,11.0,1788.0,2.0,5.0,3.0,0.0,0,1,0,185000.0
Residential,Split Level,Aluminum/Vinyl,1.0,1955.0,8.0,2000.0,1.0,4.0,2.0,1.0,0,1,1,350000.0
Residential,Res O/S A & 1/2,Asphalt/Other,1.0,1913.0,6.0,964.0,1.0,3.0,1.0,0.0,0,0,0,72500.0
Residential,Dplx Bungalow,Aluminum/Vinyl,1.5,1926.0,10.0,2188.0,2.0,4.0,2.0,0.0,0,0,0,72000.0
Residential,Cape Cod,Aluminum/Vinyl,1.0,1949.0,8.0,1337.0,1.0,5.0,1.0,0.0,0,0,0,270000.0
Residential,Dplx Bungalow,Asphalt/Other,1.5,1925.0,10.0,2003.0,2.0,4.0,2.0,0.0,0,0,0,52250.0
Residential,Duplex N/S,Brick,1.5,1954.0,7.0,2119.0,2.0,3.0,2.0,0.0,0,0,0,340000.0
Residential,Ranch,Brick,1.0,1967.0,6.0,1689.0,1.0,3.0,2.0,1.0,1,1,1,402000.0
Residential,Milwaukee Bungalow,Aluminum/Vinyl,1.5,1941.0,9.0,2198.0,1.0,5.0,2.0,0.0,1,0,0,320000.0
Residential,Dplx Bungalow,Aluminum/Vinyl,2.0,1926.0,15.0,2888.0,2.0,7.0,2.0,0.0,0,0,0,185000.0
Residential,Duplex N/S,Masonry/Frame,2.0,1968.0,8.0,1817.0,2.0,4.0,2.0,0.0,0,0,0,135000.0
Residential,Dplx Bungalow,Masonry/Frame,2.0,1928.0,10.0,2265.0,2.0,5.0,2.0,0.0,0,0,0,130000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1958.0,5.0,1072.0,1.0,3.0,1.0,1.0,0,1,1,240000.0
Residential,Ranch,Stucco,1.0,1944.0,4.0,884.0,1.0,3.0,1.0,0.0,1,1,0,215000.0
Residential,Cape Cod,Aluminum/Vinyl,1.0,1952.0,5.0,1016.0,1.0,3.0,1.0,0.0,0,1,0,185000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1959.0,6.0,1084.0,1.0,3.0,1.0,1.0,0,1,0,195000.0
Residential,Duplex O/S,Aluminum/Vinyl,1.5,1910.0,8.0,1276.0,2.0,4.0,2.0,0.0,0,0,0,299000.0
Residential,Ranch,Brick,1.0,1950.0,12.0,1520.0,1.0,6.0,2.0,0.0,0,1,0,278900.0
Residential,Ranch,Asphalt/Other,1.0,1954.0,4.0,1043.0,1.0,2.0,2.0,0.0,0,1,0,200000.0
Residential,Colonial,Aluminum/Vinyl,2.0,2002.0,10.0,3330.0,1.0,4.0,3.0,1.0,1,1,1,515000.0
Residential,Mansion,Stone,2.0,1922.0,10.0,5612.0,1.0,5.0,5.0,1.0,1,1,1,1300000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1958.0,10.0,1408.0,1.0,6.0,1.0,1.0,0,1,0,300000.0
Residential,Duplex O/S,Asphalt/Other,2.0,1894.0,14.0,3198.0,2.0,8.0,4.0,0.0,0,0,0,99000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1953.0,5.0,912.0,1.0,3.0,1.0,0.0,0,1,0,151900.0
Residential,Ranch,Brick,1.0,1957.0,6.0,1274.0,1.0,3.0,2.0,0.0,0,1,0,189000.0
Residential,Cape Cod,Aluminum/Vinyl,1.0,1952.0,6.0,1554.0,1.0,3.0,2.0,0.0,0,1,0,185000.0
Residential,Duplex O/S,Aluminum/Vinyl,1.5,1941.0,18.0,1841.0,2.0,6.0,2.0,0.0,0,0,0,300000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1959.0,5.0,1177.0,1.0,3.0,1.0,1.0,0,1,1,320000.0
Residential,Res O/S 2sty +,Stucco,2.0,1913.0,9.0,2708.0,1.0,4.0,1.0,1.0,1,0,1,595000.0
Residential,Cape Cod,Aluminum/Vinyl,1.0,1952.0,5.0,920.0,1.0,3.0,1.0,0.0,0,0,0,135000.0
Residential,Res O/S A & 1/2,Aluminum/Vinyl,1.0,1909.0,6.0,1152.0,1.0,4.0,1.0,0.0,0,0,0,150000.0
Residential,Cottage,Aluminum/Vinyl,1.0,1949.0,4.0,1107.0,1.0,2.0,1.0,0.0,1,1,0,215000.0
Residential,Milwaukee Bungalow,Aluminum/Vinyl,1.0,1925.0,7.0,1342.0,1.0,4.0,1.0,0.0,0,0,0,337000.0
Residential,Res O/S 2sty +,Aluminum/Vinyl,2.0,1905.0,7.0,1409.0,1.0,4.0,1.0,0.0,0,1,0,259900.0
Commercial,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",Brick,2.0,1916.0,0.0,5200.0,5.0,2.0,0.0,0.0,0,0,0,349000.0
Residential,Duplex O/S,Aluminum/Vinyl,1.5,1914.0,11.0,2082.0,2.0,7.0,2.0,0.0,0,0,0,105000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1964.0,6.0,1237.0,1.0,3.0,1.0,1.0,1,1,1,317000.0
Residential,Cape Cod,Brick,1.0,1951.0,6.0,1240.0,1.0,3.0,1.0,0.0,0,0,0,150000.0
Residential,Cape Cod,Block,1.0,1948.0,5.0,1267.0,1.0,3.0,1.0,0.0,0,0,0,235000.0
Residential,Duplex N/S,Aluminum/Vinyl,2.0,1968.0,10.0,2128.0,2.0,6.0,2.0,0.0,0,1,0,192000.0
Residential,Ranch,Aluminum/Vinyl,1.0,2008.0,6.0,3021.0,1.0,3.0,2.0,2.0,1,1,1,420000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1951.0,4.0,772.0,1.0,2.0,1.0,0.0,0,1,0,193000.0
Residential,Duplex O/S,Asphalt/Other,2.0,1890.0,26.0,3735.0,3.0,13.0,4.0,0.0,0,0,0,205000.0
Condominium,Condo Townhouse,,2.0,1974.0,10.0,1068.0,1.0,6.0,1.0,1.0,0,1,1,129900.0
Residential,Ranch,Aluminum/Vinyl,1.0,1943.0,5.0,861.0,1.0,3.0,1.0,0.0,0,1,0,285000.0
Residential,Duplex O/S,Asphalt/Other,2.0,1912.0,10.0,2498.0,2.0,4.0,2.0,0.0,0,0,0,404000.0
Residential,Cape Cod,Aluminum/Vinyl,1.0,1940.0,6.0,1175.0,1.0,2.0,1.0,1.0,0,1,1,330000.0
Residential,Milwaukee Bungalow,Asphalt/Other,1.0,1924.0,7.0,1539.0,1.0,4.0,1.0,0.0,0,0,0,170900.0
Residential,Cape Cod,Brick,1.0,1953.0,4.0,902.0,1.0,2.0,2.0,0.0,0,1,0,242450.0
Residential,Cape Cod,Brick,1.0,1945.0,7.0,1360.0,1.0,4.0,1.0,1.0,0,1,1,229900.0
Residential,Cape Cod,Brick,1.5,1952.0,6.0,1239.0,1.0,4.0,1.0,0.0,0,1,0,210000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1955.0,5.0,864.0,1.0,3.0,1.0,1.0,0,0,1,120000.0
Residential,Ranch,Aluminum/Vinyl,1.0,1980.0,5.0,1064.0,1.0,3.0,1.0,1.0,0,1,1,305000.0
Residential,Duplex-Cottage,Aluminum/Vinyl,1.0,1884.0,13.0,2478.0,2.0,5.0,2.0,0.0,0,0,0,160000.0
Residential,Colonial,Aluminum/Vinyl,2.0,1976.0,7.0,2150.0,1.0,4.0,2.0,1.0,1,0,1,405000.0
Residential,Colonial,Aluminum/Vinyl,2.0,1995.0,12.0,1494.0,1.0,6.0,1.0,1.0,1,1,1,312000.0
Residential,Colonial,Aluminum/Vinyl,2.0,1934.0,6.0,1469.0,1.0,4.0,2.0,0.0,0,0,0,281500.0
